npcname_JP.	ひとりぼっちの『パエル』
npcname_EN.	Lonely <Pael>
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「おかあさん…」
flavorpassive_JP.1	「ひとりにしないでよ」
flavorpassive_JP.2	「みゅ…」
flavorpassive_EN.0	"Mother..."
flavorpassive_EN.1	"Don't leave me alone."
flavorpassive_EN.2	"Oh, look at you..."
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ごめんね…ごめんね…おかあさん」
flavordeath_EN.0	""Sorry... I'm so sorry... Mother"
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
