npcname_JP.	アンドロイド
npcname_EN.	android
numflavor_passiveJP.	1
numflavor_passiveEN.	3
flavorpassive_JP.0	*がしゃーんがしゃーん*
flavorpassive_EN.0	*clickity-crunch* 
flavorpassive_EN.1	*zaap*
flavorpassive_EN.2	*bzzt-hum*
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「駆動系異常なし。戦闘可能」
flavorangered_JP.1	「ターゲットロック」
flavorangered_JP.2	「突撃します」
flavorangered_EN.0	"No engine drive system error detected. Combat e enabled."
flavorangered_EN.1	"Target locked"
flavorangered_EN.2	"Charging"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「サヨ…ウ…ナ…ラ」
flavordeath_JP.1	「機能停止…」
flavordeath_EN.0	"Sayo.. nara..."
flavordeath_EN.1	"Main functions halted..."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「ターゲット撃破しました」
flavorkill_JP.1	「戦闘データを更新」
flavorkill_EN.0	"Target destroyed"
flavorkill_EN.1	"Loading battle data... updating combat database..."
numflavor_welcomeJP.	1
numflavor_welcomeEN.	1
flavorwelcome_JP.0	「マスターの帰還を確認」
flavorwelcome_EN.0	"%syujin%'s return confirmed. Analyzing condition data..."
