npcname_JP.	盗賊団の頭領
npcname_EN.	rogue boss
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	5
numflavor_angeredEN.	5
flavorangered_JP.0	「イヒヒヒヒ」
flavorangered_JP.1	「もうすぐ殺してあげるよ」
flavorangered_JP.2	「かわいそうに、ウヒャ」
flavorangered_JP.3	「おまえさん、ついてないな」
flavorangered_JP.4	「馬鹿な選択をしたね」
flavorangered_EN.0	"Hee hee hee hee"
flavorangered_EN.1	"I'll finish 'em off quick"
flavorangered_EN.2	"Poor thing, ughh"
flavorangered_EN.3	"Yer pretty unlucky"
flavorangered_EN.4	"Moron. You made your choice"
numflavor_deathJP.	3
numflavor_deathEN.	3
flavordeath_JP.0	「たちけて」
flavordeath_JP.1	「ひぃぃ、こいつ強い」
flavordeath_JP.2	「命だけは！」
flavordeath_EN.0	"Take care"
flavordeath_EN.1	"Eheh... pretty tough"
flavordeath_EN.2	"That's just life!"
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「ついてなかったな」
flavorkill_EN.0	"That's lucky"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
