npcname_JP.	《永遠のネヘルタード》
npcname_EN.	<Amurdad>
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「生命は大事に…ね？」
flavorangered_JP.1	「これも盟約の定め…だから」
flavorangered_JP.2	「星々の声に耳をすませば…」
flavorangered_JP.0	"Life is important ... is it not?"
flavorangered_EN.1	"This is the fate of the treaty... that's why"
flavorangered_EN.2	"Listen to the stars' voices ..."
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「ここより永遠に…」
flavordeath_JP.1	「ぼくは消えない」
flavordeath_EN.0	"From here to eternity"
flavordeath_EN.1	"I will not disappear"
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「その生命が今あるべき場所はここじゃない…」
flavorkill_JP.1	「さぁ、束の間の安らぎを」
flavorkill_EN.0	"This is no place to survive..."
flavorkill_EN.1	"For now, your time will be peaceful"
numflavor_welcomeJP.	1
numflavor_welcomeEN.	1
flavorwelcome_JP.0	「もし君が帰ってこなければ…永遠にこのままだった」
flavorwelcome_EN.0	"What if you didn't come home... it's been like that for forever."
