npcname_JP.	《歌踊のカラヴィカ》
npcname_EN.	<Karavika>
numflavor_passiveJP.	3
numflavor_passiveEN.	4
flavorpassive_JP.0	「ときめくぜっ」
flavorpassive_JP.1	「みんな～」
flavorpassive_JP.2	「おひねりもよろしく！」
flavorpassive_EN.0	"I'm so blessed"
flavorpassive_EN.1	"Hurray!"
flavorpassive_EN.2	"Everyoone..."
flavorpassive_EN.3	"Nice to see you all again!"
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「もっと情熱的に！」
flavorangered_JP.1	「さぁ、無様に踊れ」
flavorangered_JP.2	「テンションあがってきたー！」
flavorangered_EN.0	"More passionately!"
flavorangered_EN.1	"Now, dance your heart out"
flavorangered_EN.2	"It's gotten more exciting!"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「あたしの命の音が消えた…？」
flavordeath_JP.1	「あれ？アンコールは？」
flavordeath_EN.0	"The voice of my life has disappeared... ?"
flavordeath_EN.1	"Eh? A call for an encore?"
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「いやっほう！」
flavorkill_JP.1	「応援、ありがと～」
flavorkill_EN.0	"No way!"
flavorkill_EN.1	"EEEE! Thank you"
numflavor_welcomeJP.	1
numflavor_welcomeEN.	1
flavorwelcome_JP.0	「おーかえりなっさいー♪」
flavorwelcome_EN.0 "Welcome back home ♪" 
