npcname_JP.	抑圧されし災厄『レナイ』
npcname_EN.	<Renai> the over meshera
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「気を抜くと身体から触手が出ちゃうの嫌だな」
flavorpassive_JP.1	「兄さんったら過保護だから」
flavorpassive_JP.2	「な、なんだか身体の調子が…」
flavorpassive_EN.0	"I don't want to have tentacles shoot out of my body whenever I relax"
flavorpassive_EN.1	"This is because my older brother was overprotective"
flavorpassive_EN.2	"Ah, my body's starting to feel somewhat..."
numflavor_angeredJP.	4
numflavor_angeredEN.	4
flavorangered_JP.0	「戦うしかない…本当にそうなの？」
flavorangered_JP.1	「だ、だめ！これ以上力を入れたら人の形を保てない！」
flavorangered_JP.2	「望んで手に入れた力じゃないけれど、今は…」
flavorangered_JP.3	「もう、戦わずに好き勝手されるのは嫌！」
flavorangered_EN.0	"There is no choice but to fight... are you so sure about that?"
flavorangered_EN.1	"St-stop it! If you push me any harder, my shape won't stay as a person!"
flavorangered_EN.2	"It's not what I wanted, but this is what I am now..."
flavorangered_EN.3	"I do not want to be selfish without fighting anymore!"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「気の遠くなるくらい激痛が続くのに比べれば…」
flavordeath_JP.1	「兄さん…ごめん…ね」
flavordeath_EN.0	"The pain is getting worse and worse, I'm going away..."
flavordeath_EN.1	"I'm sorry, big brother"
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「こんな力…どう使えばいいの」
flavorkill_JP.1	「あ…わたし、本当にもう人間じゃないんだ…」
flavorkill_EN.0	"This power... how could I use it?"
flavorkill_EN.1	"Ahh... I think... I'm not really human anymore... already"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
