npcname_JP.	傀儡巫女『メーイル』
npcname_EN.	<Maile> the marionette shaman
numflavor_passiveJP.	3
numflavor_passiveEN.	2
flavorpassive_JP.0	「グレティラとナゴレウの仇は必ずとります」
flavorpassive_JP.1	「力を蓄え、仲間を増やさなければいけません」
flavorpassive_JP.2	「いずれはこの世界も忘却の海に沈むのです」
flavorpassive_EN.0	"We need to conserve our power and increase our allies"
flavorpassive_EN.1	"At this rate, the whole world(s?) may sink into the ocean of oblivion"
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「本来の肉体があればこのような失態は…」
flavordeath_JP.1	"If the original body is... this mistake will..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「イキーャ様のために…」
flavorkill_JP.0	"This is all for the will of the great..."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
