npcname_JP.	駆け出し
npcname_EN.	novice
numflavor_passiveJP.	3
numflavor_passiveEN.	2
flavorpassive_JP.0	「先パイみたいにかっこいい冒険者になりたい！」
flavorpassive_JP.1	「ポート・カプールだっけ？ボート・カブールだっけ？」
flavorpassive_JP.2	「矢耐性かと思ったら失耐性だった」
flavorpassive_EN.0	"I want to become a cool adventurer like my senior!"
flavorpassive_EN.1	"Is it Port Kapul or Boat Kabul?"
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「わかるぞ…これならいける！」
flavorangered_JP.1	「これなら自分にもできそう！」
flavorangered_JP.2	「これゼミでやったところだ！」
flavorangered_EN.0	"I understand... I know I can go on to do things like this."
flavorangered_EN.1	"If I try that, I really can do this!"
flavorangered_EN.2	"Thanks to that seminar, I can do this! I did it!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ニガテを克服しよう！」
flavordeath_EN.0	"I'll overcome this weakness!"
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「冒険ゼミ始めてよかった！」
flavorkill_EN.0	"I'm glad I took that adventuring seminar!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
