npcname_JP.	《夜煙のテスカトリポカ》
npcname_EN.	<Tezcatlipoca>
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「腕が鳴るというものだ」
flavorangered_JP.1	「煙に巻いてやる」
flavorangered_JP.2	「勝負！」
flavorangered_EN.0	"I've been wanting to test my skill"
flavorangered_EN.1	"I'll grind you to smoke"
flavorangered_EN.2	"Fight!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「完敗だ…」
flavordeath_JP.0	"I was totally defeated..."
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「その程度の防御ではな！」
flavorkill_JP.1	「我に挑むには準備不足だ」
flavorkill_EN.0	"You are not ready to challenge me"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
